Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
100,0,41.6,84,2527
100,0,41.6,84,2528
100,0,41.6,84,2529
100,0,41.6,84,2530
100,0,41.6,84,2531
100,0,41.6,84,2532
100,0,41.6,84,2533
100,0,41.6,84,2534
100,0,41.6,84,2535
100,0,41.6,84,2536
100,0,41.6,85,2537
100,0,41.6,85,2538
100,0,41.6,85,2539
100,0,41.6,85,2540
100,0,41.6,85,2541
100,0,41.6,85,2542
100,0,41.6,85,2543
100,0,41.6,85,2544
100,0,41.6,85,2545
100,0,41.6,85,2546
100,0,41.6,85,2547
100,0,41.6,85,2548
100,0,41.6,85,2549
100,0,41.6,85,2550
100,0,41.6,85,2551
100,0,41.6,85,2552
100,0,41.6,85,2553
100,0,41.6,85,2554
100,0,41.6,85,2555
100,0,41.6,85,2556
100,0,41.6,85,2557
100,0,41.6,85,2558
100,0,41.6,85,2559
100,0,41.6,85,2560
100,0,41.6,85,2561
100,0,41.6,85,2562
100,0,41.7,85,2563
100,0,41.7,85,2564
100,0,41.6,85,2565
100,0,41.6,85,2566
100,0,41.7,85,2567
100,0,41.7,85,2568
100,0,41.7,85,2569
100,0,41.7,85,2570
100,0,41.7,85,2571
100,0,41.7,85,2572
100,0,41.7,85,2573
100,0,41.7,85,2574
100,0,41.5,86,2575
100,0,41.5,86,2576
100,0,41.3,85,2577
100,0,41.3,85,2578
100,0,41.4,85,2579
100,0,41.4,85,2580
100,0,41.5,85,2581
100,0,41.5,85,2582
100,0,41.3,85,2583
100,0,41.3,85,2584
100,0,41.2,86,2585
100,0,41.2,86,2586
100,0,41.2,85,2587
100,0,41.2,85,2588
100,0,41.3,85,2589
100,0,41.3,85,2590
100,0,41.3,85,2591
100,0,41.3,85,2592
100,0,41.3,85,2593
100,0,41.3,85,2594
100,0,41.2,85,2595
100,0,41.2,85,2596
100,0,41.2,85,2597
100,0,41.2,85,2598
100,0,41.3,85,2599
100,0,41.3,85,2600
100,0,41.3,85,2601
100,0,41.3,85,2602
100,0,41.3,86,2603
100,0,41.3,86,2604
100,0,41.3,85,2605
100,0,41.3,85,2606
100,0,41.3,84,2607
100,0,41.3,84,2608
100,0,41.3,84,2609
100,0,41.3,84,2610
100,0,41.3,83,2611
100,0,41.3,83,2612
100,0,41.3,82,2613
100,0,41.3,82,2614
100,0,41.3,82,2615
100,0,41.3,82,2616
100,0,41.3,82,2617
100,0,41.3,82,2618
100,0,41.3,81,2619
100,0,41.3,81,2620
100,0,41.3,82,2621
100,0,41.3,82,2622
100,0,41.3,82,2623
100,0,41.3,82,2624
100,0,41.3,81,2625
100,0,41.3,81,2626
100,0,41.3,81,2627
100,0,41.3,81,2628
100,0,41.3,81,2629
100,0,41.3,81,2630
100,0,41.3,81,2631
100,0,41.3,81,2632
100,0,41.3,81,2633
100,0,41.3,81,2634
100,0,41.3,81,2635
100,0,41.3,81,2636
100,0,41.3,81,2637
100,0,41.3,81,2638
100,0,41.3,81,2639
100,0,41.3,81,2640
100,0,41.3,81,2641
100,0,41.3,81,2642
100,0,41.3,81,2643
100,0,41.3,81,2644
100,0,41.3,81,2645
100,0,41.3,81,2646
100,0,41.3,81,2647
100,0,41.3,81,2648
100,0,41.3,80,2649
100,0,41.3,80,2650
100,0,41.3,80,2651
100,0,41.3,80,2652
100,0,41.3,80,2653
100,0,41.3,80,2654
100,0,41.3,80,2655
100,0,41.3,80,2656
100,0,41.9,80,2657
100,0,41.9,80,2658
100,0,42,80,2659
100,0,42,80,2660
100,0,41.9,79,2661
100,0,41.9,79,2662
100,0,41.8,79,2663
100,0,41.8,79,2664
100,0,41.6,79,2665
100,0,41.6,79,2666
100,0,41.6,79,2667
100,0,41.6,79,2668
100,0,41.6,79,2669
100,0,41.6,79,2670
100,0,41.6,79,2671
100,0,41.6,79,2672
100,0,41.6,79,2673
100,0,41.6,79,2674
100,0,41.6,79,2675
100,0,41.6,79,2676
100,0,41.9,79,2677
100,0,41.9,79,2678
100,0,42.3,78,2679
100,0,42.3,78,2680
100,0,42.3,78,2681
100,0,42.3,78,2682
100,0,42.3,78,2683
100,0,42.3,78,2684
100,0,42.3,78,2685
100,0,42.3,78,2686
100,0,42.3,78,2687
100,0,42.3,78,2688
100,0,42.3,78,2689
100,0,42.3,78,2690
100,0,42.3,77,2691
100,0,42.3,77,2692
100,0,41.9,78,2693
100,0,41.9,78,2694
100,0,41.9,78,2695
100,0,41.9,78,2696
100,0,41.9,77,2697
100,0,41.9,77,2698
100,0,42.6,77,2699
100,0,42.6,77,2700
100,0,42.6,77,2701
100,0,42.6,77,2702
100,0,42.6,76,2703
100,0,42.6,76,2704
100,0,42.6,76,2705
100,0,42.6,76,2706
100,0,42.6,75,2707
100,0,42.6,75,2708
100,0,42.6,75,2709
100,0,42.6,75,2710
100,0,42.6,75,2711
100,0,42.6,75,2712
100,0,42.6,74,2713
100,0,42.6,74,2714
100,0,42.6,73,2715
100,0,42.6,73,2716
100,0,42.7,73,2717
100,0,42.7,73,2718
100,0,43.3,74,2719
100,0,43.3,74,2720
100,0,43.3,73,2721
100,0,43.3,73,2722
100,0,43.3,73,2723
100,0,43.3,73,2724
100,0,43.3,72,2725
100,0,43.3,72,2726
100,0,42.9,72,2727
100,0,42.9,72,2728
100,0,42.9,72,2729
100,0,42.9,72,2730
100,0,42.9,71,2731
100,0,42.9,71,2732
100,0,42.9,71,2733
100,0,42.9,71,2734
100,0,42.9,70,2735
100,0,42.9,70,2736
100,0,43,70,2737
100,0,43,70,2738
100,0,43.6,69,2739
100,0,43.6,69,2740
100,0,43.6,70,2741
100,0,43.6,70,2742
100,0,43.6,70,2743
100,0,43.6,70,2744
100,0,43.6,69,2745
100,0,43.6,69,2746
100,0,43.6,69,2747
100,0,43.6,69,2748
100,0,43.6,68,2749
100,0,43.6,68,2750
100,0,43.6,67,2751
100,0,43.6,67,2752
100,0,43.5,66,2753
100,0,43.5,66,2754
100,0,43.2,67,2755
100,0,43.2,67,2756
100,0,43.6,67,2757
100,0,43.6,67,2758
100,0,43.9,66,2759
100,0,43.9,66,2760
100,0,43.9,65,2761
100,0,43.9,65,2762
100,0,43.9,63,2763
100,0,43.9,63,2764
100,0,43.9,63,2765
100,0,43.9,63,2766
100,0,43.9,62,2767
100,0,43.9,62,2768
100,0,43.9,62,2769
100,0,43.9,62,2770
100,0,43.9,60,2771
100,0,43.9,60,2772
100,0,43.9,60,2773
100,0,43.9,60,2774
100,0,43.9,61,2775
100,0,43.9,61,2776
100,0,43.9,61,2777
100,0,43.9,61,2778
100,0,43.9,61,2779
100,0,43.9,61,2780
100,0,43.9,60,2781
100,0,43.9,60,2782
100,0,43.9,61,2783
100,0,43.9,61,2784
100,0,43.9,60,2785
100,0,43.9,60,2786
100,0,43.9,60,2787
100,0,43.9,60,2788
100,0,43.9,60,2789
100,0,43.9,60,2790
100,0,43.9,60,2791
100,0,43.9,60,2792
100,0,43.9,60,2793
100,0,43.9,60,2794
100,0,43.9,60,2795
100,0,43.9,60,2796
